0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:38:19 -0300] "POST /BodyVIP/salvaCadastroTurma.jsp HTTP/1.1" 200 1888
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:38:40 -0300] "GET /BodyVIP/ProfessorController?acao=buscaLista HTTP/1.1" 200 2294
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:38:43 -0300] "GET /BodyVIP/TurmaController?acao=buscaLista HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:39:11 -0300] "GET /BodyVIP/AlunoController?acao=buscaLista HTTP/1.1" 200 2334
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:39:12 -0300] "GET /BodyVIP/TurmaController?acao=buscaLista HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:39:14 -0300] "GET /BodyVIP/ProfessorController?acao=buscaLista HTTP/1.1" 200 2294
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:39:21 -0300] "GET /BodyVIP/AlunoController?acao=cadastro HTTP/1.1" 200 2397
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:39:27 -0300] "GET /BodyVIP/AlunoController?acao=buscaLista HTTP/1.1" 200 2334
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:39:29 -0300] "GET /BodyVIP/TurmaController?acao=cadastro HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:39:34 -0300] "GET /BodyVIP/TurmaController?acao=buscaLista HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:39:37 -0300] "GET /BodyVIP/ProfessorController?acao=cadastro HTTP/1.1" 200 2306
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:39:42 -0300] "GET /BodyVIP/TurmaController?acao=buscaLista HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:39:44 -0300] "GET /BodyVIP/home.jsp HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:39:45 -0300] "GET /BodyVIP/ProfessorController?acao=buscaLista HTTP/1.1" 200 2294
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:39:45 -0300] "GET /BodyVIP/home.jsp HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:39:51 -0300] "GET /BodyVIP/TurmaController?acao=cadastro HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:39:53 -0300] "GET /BodyVIP/TurmaController?acao=buscaLista HTTP/1.1" 200 2421
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:40:34 -0300] "GET /BodyVIP/TurmaController?acao=cadastro HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:40:55 -0300] "POST /BodyVIP/salvaCadastroTurma.jsp HTTP/1.1" 200 1886
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:40:57 -0300] "GET /BodyVIP/TurmaController?acao=buscaLista HTTP/1.1" 200 2751
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:48:11 -0300] "GET /BodyVIP/TurmaController?acao=buscaLista HTTP/1.1" 200 2751
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:48:12 -0300] "GET /BodyVIP/TurmaController?acao=cadastro HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:49:35 -0300] "POST /BodyVIP/salvaCadastroTurma.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:49:36 -0300] "GET /BodyVIP/sucessoCadastro.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:49:45 -0300] "GET /BodyVIP/TurmaController?acao=buscaLista HTTP/1.1" 200 3086
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:50:16 -0300] "GET /BodyVIP/TurmaController?acao=cadastro HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:50:31 -0300] "POST /BodyVIP/salvaCadastroTurma.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:50:31 -0300] "GET /BodyVIP/erroCadastro.jsp HTTP/1.1" 200 1928
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:50:35 -0300] "GET /BodyVIP/home.jsp HTTP/1.1" 200 2764
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:50:37 -0300] "GET /BodyVIP/TurmaController?acao=cadastro HTTP/1.1" 200 2851
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:51:00 -0300] "POST /BodyVIP/salvaCadastroTurma.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:51:00 -0300] "GET /BodyVIP/sucessoCadastro.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:51:07 -0300] "GET /BodyVIP/TurmaController?acao=buscaLista HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:51:15 -0300] "GET /BodyVIP/TurmaController?acao=alteraCadastro&codigo=sads HTTP/1.1" 200 2868
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:51:20 -0300] "POST /BodyVIP/TurmaController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:51:21 -0300] "GET /BodyVIP/TurmaController?acao=buscaLista HTTP/1.1" 200 3418
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:51:32 -0300] "GET /BodyVIP/TurmaController?acao=alteraCadastro&codigo=sads HTTP/1.1" 200 2868
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:51:37 -0300] "POST /BodyVIP/TurmaController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:51:37 -0300] "GET /BodyVIP/TurmaController?acao=buscaLista HTTP/1.1" 200 3419
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:51:40 -0300] "GET /BodyVIP/TurmaController?acao=deletaCadastro&codigo=sads HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:51:40 -0300] "GET /BodyVIP/TurmaController?acao=buscaLista HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [21/Jun/2017:11:51:43 -0300] "GET /BodyVIP/home.jsp HTTP/1.1" 200 2764
